"","DBN","School Name","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","School Type","Parent Response Rate","frl_percent","ell_percent","asian_per","black_per","hispanic_per","white_per","male_per","female_per","sped_percent","total_enrollment","Num of SAT Test Takers"
"77","03M307","Urban Assembly School For Media Studies, The","384","390","370","High School","13%",68.8,12.8,2.2,37.4,56,3,57.9,42.1,15.3,366,"41"
"78","03M402","The Urban Assembly School For Green Careers","s","s","s","High School","33%",73.2,25.1,1.8,19.8,76,1.8,56.9,43.1,21.6,283,"s"
"79","03M403","The Global Learning Collaborative","s","s","s","High School","20%",68.4,19.3,3.6,27.7,62.6,5.9,51.4,48.6,19.3,358,"s"
"80","03M404","Innovation Diploma Plus","416","403","381","Transfer High School","44%",50.4,3.5,48.7,33.2,16.6,1.5,47.7,52.3,10.1,199,"12"
"81","03M415","Wadleigh Secondary School For The Performing & Vis","371","368","370","Middle/High School","46%",76.6,7.4,0.4,59.9,38.8,0.8,38.4,61.6,18.8,516,"32"
"82","03M417","Frank Mccourt High School","s","s","s","High School","32%",24,0.9,6.8,18.3,37,37,46.6,53.4,17.4,219,"s"
"83","03M470","Louis D. Brandeis High School","370","390","358","High School","4%",68.6,27.8,2.1,29.6,67.4,1,50.5,49.5,10.7,291,"131"
"84","03M479","Beacon High School","577","575","592","High School","29%",18.4,0.2,8.9,14.6,22.8,49.8,39,61,3.7,1162,"261"
"85","03M485","Fiorello H. Laguardia High School Of Music & Art A","566","564","577","High School","36%",21.7,0.2,19.6,12.9,16.6,49.2,26.4,73.6,1,2605,"531"
"86","03M492","High School For Law, Advocacy And Community Justic","396","398","402","High School","52%",79.9,10.5,1.3,46.2,48.1,1.8,40.1,59.9,15.5,541,"66"
"87","03M494","High School Of Arts And Technology","433","433","411","High School","29%",79.8,10.4,5,34.8,57.2,2.3,67.7,32.3,17.2,603,"75"
